Wall time,Step,Value
1716328436.953964,692139,-33.81549835205078
1716328440.985208,694071,-33.77202224731445
1716328443.012344,695037,-33.663299560546875
1716328444.0217323,695520,-33.857818603515625
1716328445.033491,696003,-33.959041595458984
1716328446.045748,696486,-33.95436096191406
1716328448.7003853,697935,-33.67745590209961
1716328453.5767167,700350,-33.76596450805664
1716328455.3842251,701316,-33.636940002441406
1716328456.2840247,701799,-33.625919342041016
1716328458.9261248,703248,-33.792476654052734
1716328461.4991703,704214,-33.72383117675781
1716328462.8048253,704697,-33.670047760009766
1716328465.37261,705663,-33.60045623779297
1716328466.6859298,706146,-33.60110092163086
1716328481.5415328,711942,-33.219974517822266
1716328482.5455682,712425,-33.12129211425781
1716328484.5667644,713391,-33.115238189697266
1716328491.4997377,716772,-33.115318298339844
1716328494.7128477,718704,-33.4371337890625
1716328497.1224408,720153,-33.54867935180664
1716328499.94294,721602,-33.790897369384766
1716328500.9486084,722085,-33.779396057128906
1716328504.9882631,724017,-33.83132553100586
1716328505.9940534,724500,-33.953453063964844
1716328508.961161,725949,-34.13856887817383
1716328516.0283165,729330,-34.28300476074219
1716328516.847688,729813,-34.023189544677734
1716328517.6519349,730296,-33.91189956665039
1716328519.352359,731262,-33.89840316772461
1716328521.3598928,732228,-33.79998016357422
1716328522.358478,732711,-33.9481315612793
1716328534.3906343,738507,-33.53973388671875
1716328540.4462538,741405,-33.8561897277832
1716328543.485175,742854,-33.75107192993164
1716328544.4922895,743337,-33.68696212768555
1716328547.527996,744786,-33.89899826049805
1716328553.3908947,748167,-33.30778121948242
1716328556.0126557,749616,-33.303001403808594
1716328557.016103,750099,-33.30198287963867
1716328558.02338,750582,-33.40719223022461
1716328567.0656059,754929,-33.75585174560547
1716328570.0650153,756378,-33.80036926269531
1716328571.0728989,756861,-33.9426155090332
1716328573.0943956,757827,-34.3731689453125
1716328576.094541,759276,-34.07652282714844
1716328577.1062863,759759,-33.97323989868164
1716328578.1187599,760242,-34.03632736206055
1716328581.312998,761691,-33.82963180541992
1716328585.3782775,763623,-33.93974304199219
1716328590.4401188,766038,-34.22975540161133
1716328600.9214387,770868,-33.89033126831055
1716328602.2172296,771351,-34.0106315612793
1716328603.5329194,771834,-34.05795669555664
1716328608.6909633,773766,-33.579490661621094
1716328609.9646204,774249,-33.70606994628906
1716328611.2870717,774732,-33.96845626831055
1716328621.7269535,778596,-33.75491714477539
1716328638.6961095,784875,-33.84782791137695
1716328642.5675688,786324,-34.068580627441406
1716328647.7445781,788256,-33.9205322265625
1716328652.8645186,790188,-33.810096740722656
1716328655.4768727,791154,-33.516448974609375
1716328659.1428423,792603,-33.64848709106445
1716328660.3955605,793086,-33.68213653564453
1716328666.910455,795501,-33.82523727416992
1716328668.1999152,795984,-33.77323913574219
1716328673.4256408,797916,-33.23392868041992
1716328676.0151036,798882,-33.42822265625
1716328677.2879531,799365,-33.55227279663086
1716328679.9093733,800331,-33.94438934326172
1716328686.537091,803229,-33.6917724609375
1716328690.600746,805161,-33.2529296875
1716328694.610848,807093,-33.75284194946289
1716328698.6830027,809025,-33.934505462646484
1716328701.7247362,810474,-33.754512786865234
1716328703.7556453,811440,-33.86017990112305
1716328710.0325084,814338,-34.14134216308594
1716328711.0510669,814821,-34.254573822021484
1716328712.070865,815304,-34.05933380126953
1716328713.0916219,815787,-34.04975509643555
1716328718.1643672,818202,-33.85808181762695
1716328719.0747304,818685,-33.55563735961914
1716328719.8830018,819168,-33.525508880615234
1716328723.1358712,821100,-33.10814666748047
1716328726.1808572,822549,-33.18804168701172
1716328728.2128282,823515,-33.20479202270508
1716328731.2686083,824964,-33.290977478027344
1716328733.3005824,825930,-33.54351806640625
1716328734.3184237,826413,-33.56840515136719
1716328735.3325584,826896,-33.58354949951172
1716328736.5231726,827379,-33.569366455078125
1716328742.6260793,830277,-33.80204772949219
1716328746.6802568,832209,-33.75944137573242
1716328747.6914325,832692,-33.72241973876953
1716328748.7086775,833175,-33.99312973022461
1716328749.721174,833658,-33.98070526123047
1716328754.7768984,836073,-34.17649459838867
1716328762.9050672,839937,-34.26836395263672
1716328763.919516,840420,-34.32309341430664
1716328767.9823625,842352,-34.60606384277344
1716328769.789512,843318,-34.4681396484375
1716328772.209286,844767,-34.67214584350586
1716328773.9499516,845733,-34.40702438354492
1716328776.9929464,847182,-34.38328552246094
1716328778.0084767,847665,-34.137474060058594
1716328786.280821,851529,-33.8095588684082
1716328789.3169706,852978,-33.925254821777344
1716328799.4992642,857808,-33.612308502197266
1716328801.530025,858774,-33.575565338134766
1716328804.4906304,860223,-33.402740478515625
1716328808.4895563,862155,-33.50492477416992
1716328809.4969497,862638,-33.68471145629883
1716328810.5050116,863121,-33.66002655029297
1716328813.5434058,864570,-33.53985595703125
1716328816.4180396,866019,-33.62086868286133
1716328820.4361987,867951,-33.786746978759766
1716328824.5021996,869883,-33.82244873046875
1716328826.535621,870849,-33.96051788330078
1716328832.633503,873747,-33.89762878417969
1716328834.666187,874713,-34.10728073120117
1716328843.7937875,879060,-33.79612350463867
1716328847.8507948,880992,-33.92749786376953
1716328850.4535196,882441,-34.0874137878418
1716328851.2579892,882924,-34.008907318115234
1716328852.8735418,883890,-34.12884521484375
1716328853.6835608,884373,-34.1400260925293
1716328855.2959483,885339,-34.13592529296875
1716328859.141092,887271,-33.734710693359375
1716328861.1623893,888237,-33.79030990600586
1716328868.2781134,891618,-33.75025939941406
1716328869.2950652,892101,-33.9617919921875
1716328870.314806,892584,-33.91431427001953
1716328871.334864,893067,-33.85297775268555
1716328874.387295,894516,-33.93240737915039
1716328883.4486003,898863,-33.96903610229492
1716328888.44162,901278,-34.00716018676758
1716328889.4588492,901761,-33.72132873535156
1716328890.4731362,902244,-33.3686408996582
1716328894.5172517,904176,-33.126930236816406
1716328895.5267181,904659,-32.938724517822266
1716328897.5456295,905625,-33.459327697753906
1716328900.5829084,907074,-33.8800048828125
1716328903.6318033,908523,-33.655147552490234
1716328906.2982998,909972,-33.981475830078125
1716328907.2735507,910455,-33.90959167480469
1716328909.2923198,911421,-33.64881896972656
1716328911.3259244,912387,-33.842689514160156
1716328913.2884097,913353,-34.22542190551758
1716328918.3217793,915768,-34.371402740478516
1716328922.3656445,917700,-34.50057601928711
1716328925.412169,919149,-34.526790618896484
1716328931.5210855,922047,-34.30068588256836
1716328932.5332422,922530,-34.18204116821289
1716328933.5477207,923013,-34.04094696044922
1716328936.623657,924462,-34.13731002807617
1716328941.7103758,926877,-33.50803756713867
1716328947.1479342,929775,-33.91587829589844
1716328948.018402,930258,-33.6726188659668
1716328956.4567602,935088,-33.279937744140625
1716328957.263506,935571,-33.239784240722656
1716328961.0910525,937503,-33.14897918701172
1716328962.1120646,937986,-33.251800537109375
1716328963.1305904,938469,-33.20065689086914
1716328966.1820364,939918,-33.18616485595703
1716328968.21751,940884,-33.55665969848633
1716328971.2696655,942333,-33.55958557128906
1716328974.3391428,943782,-33.62931823730469
1716328977.371159,945231,-33.4448356628418
1716328981.4047666,947163,-33.37637710571289
1716328982.4175828,947646,-33.36198043823242
1716328983.436658,948129,-33.512088775634766
1716328984.4459426,948612,-33.653228759765625
1716328985.4606807,949095,-33.311683654785156
1716328987.4515054,950061,-33.1143798828125
1716328988.4658847,950544,-33.056129455566406
1716328989.2966204,951027,-32.87028121948242
1716328996.5608404,955374,-32.57347106933594
1716328998.1751409,956340,-32.902530670166016
1716329000.3404315,957306,-32.934654235839844
1716329006.4032257,960204,-32.90630340576172
1716329007.2134075,960687,-33.15242004394531
1716329009.8890512,962136,-33.50420379638672
1716329036.1170497,974694,-33.490928649902344
1716329040.187399,976626,-33.85141372680664
1716329041.2044656,977109,-33.74345397949219
1716329045.267777,979041,-34.25007629394531
1716329047.3064065,980007,-34.126895904541016
1716329050.3678691,981456,-34.037010192871094
1716329054.143794,983388,-34.05067825317383
1716329054.953606,983871,-33.82219314575195
1716329058.5362065,985803,-33.829345703125
1716329061.5436103,987252,-33.52888488769531
1716329065.6078484,989184,-32.92202377319336
1716329072.7315228,992565,-32.6533088684082
1716329073.7506802,993048,-32.632869720458984
1716329074.7658725,993531,-32.75162887573242
